[2026-08-05T05:10:10.253Z] GET http://localhost:3002/ → 200 (283ms, ?B)
[2026-08-05T05:10:10.549Z] GET http://localhost:3002/_next/static/media/36966cca54120369-s.p.woff2 → 200 (22ms, ?B)
[2026-08-05T05:10:10.549Z] GET http://localhost:3002/_next/static/media/636a5ac981f94f8b-s.p.woff2 → 200 (18ms, ?B)
[2026-08-05T05:10:10.549Z] GET http://localhost:3002/_next/static/media/bb3ef058b751a6ad-s.p.woff2 → 200 (18ms, ?B)
[2026-08-05T05:10:10.549Z] GET http://localhost:3002/projects/hexapod/hexapod_cad.jpg → 200 (12ms, ?B)
[2026-08-05T05:10:10.549Z] GET http://localhost:3002/projects/hexapod/hexapod_print.png → 200 (18ms, ?B)
[2026-08-05T05:10:10.549Z] GET http://localhost:3002/projects/arm/arm_model.png → 200 (30ms, ?B)
[2026-08-05T05:10:10.549Z] GET http://localhost:3002/projects/arm/FEA.jpg → 200 (22ms, ?B)
[2026-08-05T05:10:10.551Z] GET http://localhost:3002/projects/drone/Drone_Disassembled.png → 200 (29ms, ?B)
[2026-08-05T05:10:10.551Z] GET http://localhost:3002/projects/japan/japan.png → 200 (28ms, ?B)
[2026-08-05T05:10:10.551Z] GET http://localhost:3002/projects/car/car_cv.png → 200 (31ms, ?B)
[2026-08-05T05:10:10.551Z] GET http://localhost:3002/projects/car/car_demo.jpg → pending (?ms, ?B)
[2026-08-05T05:10:10.551Z] GET http://localhost:3002/projects/car/car_group.jpg → pending (?ms, ?B)
[2026-08-05T05:10:10.552Z] GET http://localhost:3002/projects/flux/flux_a.png → pending (?ms, ?B)
[2026-08-05T05:10:10.552Z] GET http://localhost:3002/_next/static/css/app/layout.css?v=1785906610363 → 200 (19ms, ?B)
[2026-08-05T05:10:10.556Z] GET http://localhost:3002/_next/static/chunks/webpack.js?v=1785906610363 → pending (?ms, ?B)
[2026-08-05T05:10:10.556Z] GET http://localhost:3002/_next/static/chunks/main-app.js?v=1785906610363 → pending (?ms, ?B)
[2026-08-05T05:10:10.556Z] GET http://localhost:3002/_next/static/chunks/app-pages-internals.js → pending (?ms, ?B)
[2026-08-05T05:10:10.556Z] GET http://localhost:3002/_next/static/chunks/app/page.js → pending (?ms, ?B)
[2026-08-05T05:10:10.556Z] GET http://localhost:3002/_next/static/chunks/app/layout.js → pending (?ms, ?B)
[2026-08-05T05:10:10.556Z] GET http://localhost:3002/projects/flux/flux_b.png → pending (?ms, ?B)
[2026-08-05T05:10:10.556Z] GET http://localhost:3002/projects/flux/flux_c.png → pending (?ms, ?B)
[2026-08-05T05:10:12.127Z] GET http://localhost:3002/_next/static/chunks/_app-pages-browser_node_modules_matter-js_build_matter_js.js → 200 (?ms, 993340B)
[2026-08-05T05:13:38.088Z] GET http://localhost:3002/?_rsc=r3yhw → 200 (93ms, 4379B)
[2026-08-05T05:13:38.088Z] GET http://localhost:3002/_next/static/webpack/1b1fb5dde68bdf85.webpack.hot-update.json → 200 (47ms, 55B)
[2026-08-05T05:13:38.168Z] GET http://localhost:3002/_next/static/webpack/app/page.1b1fb5dde68bdf85.hot-update.js → 200 (28ms, 36885B)
[2026-08-05T05:13:38.168Z] GET http://localhost:3002/_next/static/webpack/app/layout.1b1fb5dde68bdf85.hot-update.js → 200 (26ms, 1591B)
[2026-08-05T05:13:38.176Z] GET http://localhost:3002/_next/static/webpack/webpack.1b1fb5dde68bdf85.hot-update.js → 200 (20ms, 858B)
[2026-08-05T05:13:38.242Z] GET http://localhost:3002/_next/static/css/app/layout.css?v=1785906818155 → 200 (9ms, 50295B)
[2026-08-05T05:21:53.185Z] GET http://localhost:3002/_next/static/webpack/298bcbcb7b7436e2.webpack.hot-update.json → 200 (55ms, 69B)
[2026-08-05T05:21:53.266Z] GET http://localhost:3002/_next/static/webpack/app/page.298bcbcb7b7436e2.hot-update.js → 200 (4ms, 22445B)
[2026-08-05T05:21:53.266Z] GET http://localhost:3002/_next/static/webpack/webpack.298bcbcb7b7436e2.hot-update.js → 200 (3ms, 858B)
[2026-08-05T05:22:07.897Z] GET http://localhost:3002/_next/static/webpack/9fe24861ba8ef392.webpack.hot-update.json → 200 (98ms, 69B)
[2026-08-05T05:22:08.034Z] GET http://localhost:3002/_next/static/webpack/app/page.9fe24861ba8ef392.hot-update.js → 200 (230ms, 22445B)
